Date,Customer ID,Product Name,Category,Price,Quantity,Discount,Sales,Rating
21-12-2018,183963,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,5,10035,4
03-12-2019,101245,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,6,19739,2
19-05-2018,148645,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,2,14503,3
09-09-2019,151434,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,7,13949,2
24-01-2020,160763,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,7,8648,3
27-02-2020,197924,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,5,18611,5
30-12-2018,147788,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,5,14249,3
24-05-2019,149568,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,10,27891,2
18-11-2018,129404,Dell Vostro 15 3581 ,Laptop,41490,1,4,39830,2
11-07-2019,133792,Acer Aspire 3 A315,Laptop,17499,1,7,16274,2
20-02-2020,162760,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,5,759,1
16-10-2018,104866,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,8,2755,5
22-03-2020,111128,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,8,4043,4
20-12-2019,114532,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,2,16655,5
23-08-2018,100499,Oppo A12s,Mobile,14610,1,12,12857,4
12-07-2018,177283,LG Aristo 5,Mobile,13165,1,5,12507,5
12-08-2018,148370,Tecno Spark 5 Pro,Mobile,12306,1,4,11814,4
18-03-2018,152213,Motorola One Vision Plus,Mobile,14860,1,3,14414,4
30-08-2019,182421,iQOO Z1x,Mobile,10409,1,2,10201,3
31-03-2020,169544,Lava Z61 Pro,Mobile,10576,1,9,9624,1
29-01-2018,178697,Motorola Moto G 5G Plus,Mobile,14924,1,2,14626,2
16-05-2019,112066,Honor X10 Max,Mobile,12091,1,13,10519,5
09-04-2020,110123,Samsung Galaxy M31,Mobile,12095,1,11,10765,4
26-02-2019,111609,Motorola One Fusion Plus,Mobile,19173,1,9,17447,5
14-07-2018,131398,Samsung Galaxy M21,Mobile,16684,1,1,16517,1
14-05-2018,123345,Realme X3,Mobile,19687,1,2,19293,1
02-10-2019,109321,Xiaomi Redmi Note 8,Mobile,15358,1,12,13515,4
19-02-2019,188694,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,7,9824,4
05-09-2018,144893,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,14,18059,5
14-08-2018,101279,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,10,13319,2
07-12-2018,170890,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,2,11,26698,1
27-07-2019,121454,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,15,7904,5
10-10-2018,136205,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,0,19590,2
15-05-2019,176575,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,5,14249,1
14-04-2019,126444,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,10,27891,5
21-07-2019,185140,Dell Vostro 15 3581 ,Laptop,41490,1,15,35267,2
27-10-2019,128834,Acer Aspire 3 A315,Laptop,17499,1,15,14874,2
02-01-2019,104791,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,4,767,1
04-09-2018,114212,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,5,2845,3
26-10-2019,180181,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,2,14,7559,3
30-03-2019,128922,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,10,15296,1
01-06-2019,135566,Oppo A12s,Mobile,14610,1,9,13295,5
03-04-2019,176229,LG Aristo 5,Mobile,13165,1,13,11454,3
24-05-2020,134770,Tecno Spark 5 Pro,Mobile,12306,1,12,10829,4
26-09-2018,148128,Motorola One Vision Plus,Mobile,14860,1,3,14414,3
07-04-2019,196041,iQOO Z1x,Mobile,10409,1,13,9056,5
27-05-2019,137744,Lava Z61 Pro,Mobile,10576,1,5,10047,2
01-06-2019,136628,Motorola Moto G 5G Plus,Mobile,14924,1,3,14476,1
12-05-2020,151540,Honor X10 Max,Mobile,12091,1,14,10398,5
30-01-2020,106828,Samsung Galaxy M31,Mobile,12095,1,12,10644,3
17-04-2020,154975,Motorola One Fusion Plus,Mobile,19173,1,9,17447,1
15-03-2020,157769,Samsung Galaxy M21,Mobile,16684,1,7,15516,1
16-11-2018,195656,Realme X3,Mobile,19687,1,15,16734,3
05-06-2018,166292,Xiaomi Redmi Note 8,Mobile,15358,1,2,15051,5
24-05-2020,114097,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,5,10035,5
28-03-2020,105386,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,2,20579,5
21-07-2019,105755,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,6,13911,1
07-08-2019,131390,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,3,14549,1
24-08-2018,135471,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,8,8555,4
16-03-2020,198906,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,6,18415,4
03-06-2020,171531,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,2,14699,5
11-09-2018,163834,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,5,29441,4
02-01-2020,191508,Dell Vostro 15 3581 ,Laptop,41490,1,13,36096,2
30-12-2018,101590,Acer Aspire 3 A315,Laptop,17499,1,14,15049,3
11-04-2019,134769,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,4,767,3
06-11-2018,150798,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,9,2725,3
09-04-2018,137456,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,12,3868,4
14-02-2019,115905,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,10,15296,4
11-09-2019,178764,Oppo A12s,Mobile,14610,1,0,14610,4
24-02-2019,139992,LG Aristo 5,Mobile,13165,1,6,12375,2
25-06-2018,122368,Tecno Spark 5 Pro,Mobile,12306,1,9,11198,2
16-04-2019,163298,Motorola One Vision Plus,Mobile,14860,1,12,13077,2
30-05-2020,105722,iQOO Z1x,Mobile,10409,1,0,10409,1
16-09-2018,172440,Lava Z61 Pro,Mobile,10576,1,15,8990,5
07-02-2019,198953,Motorola Moto G 5G Plus,Mobile,14924,1,1,14775,1
26-05-2020,182264,Honor X10 Max,Mobile,12091,1,0,12091,3
15-01-2020,103084,Samsung Galaxy M31,Mobile,12095,1,11,10765,5
09-07-2019,135785,Motorola One Fusion Plus,Mobile,19173,1,7,17831,2
11-03-2020,114688,Samsung Galaxy M21,Mobile,16684,1,13,14515,1
19-06-2018,184026,Realme X3,Mobile,19687,1,11,17521,2
11-04-2019,102466,Xiaomi Redmi Note 8,Mobile,15358,1,11,13669,3
07-06-2020,145242,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,12,9295,2
05-02-2020,189746,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,7,19529,4
08-12-2019,193286,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,3,14355,1
22-08-2018,198455,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,6,14099,2
06-02-2018,190923,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,13,8090,5
19-08-2019,128511,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,7,18219,3
01-09-2019,106259,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,9,13649,4
08-02-2018,115357,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,5,29441,4
15-02-2020,100794,Dell Vostro 15 3581 ,Laptop,41490,1,6,39001,3
20-09-2019,180765,Acer Aspire 3 A315,Laptop,17499,1,10,15749,2
15-04-2018,110723,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,11,711,5
14-07-2018,115922,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,13,2606,5
08-03-2018,189843,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,8,4043,5
25-02-2020,175381,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,4,16315,3
08-06-2020,105894,Oppo A12s,Mobile,14610,1,4,14026,2
05-01-2020,187678,LG Aristo 5,Mobile,13165,1,10,11849,5
16-04-2018,120936,Tecno Spark 5 Pro,Mobile,12306,1,11,10952,4
31-08-2018,171149,Motorola One Vision Plus,Mobile,14860,1,10,13374,5
02-12-2018,111113,iQOO Z1x,Mobile,10409,1,14,8952,1
13-02-2020,119838,Lava Z61 Pro,Mobile,10576,1,6,9941,3
23-04-2018,113153,Motorola Moto G 5G Plus,Mobile,14924,1,0,14924,4
19-04-2020,115928,Honor X10 Max,Mobile,12091,1,8,11124,1
12-04-2018,126984,Samsung Galaxy M31,Mobile,12095,1,9,11006,3
11-09-2018,189489,Motorola One Fusion Plus,Mobile,19173,1,5,18214,1
19-09-2018,198968,Samsung Galaxy M21,Mobile,16684,1,6,15683,1
24-11-2019,165034,Realme X3,Mobile,19687,1,15,16734,4
09-09-2019,179009,Xiaomi Redmi Note 8,Mobile,15358,1,12,13515,2
18-08-2019,135301,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,14,9084,5
30-04-2020,143197,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,1,20789,5
23-05-2020,138447,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,8,13615,1
02-05-2020,100682,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,1,14849,1
06-06-2020,119229,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,8,8555,5
01-09-2018,172384,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,4,18806,4
15-01-2019,142812,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,14,12899,2
24-08-2018,165229,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,14,26651,5
16-03-2018,115041,Dell Vostro 15 3581 ,Laptop,41490,1,2,40660,3
22-06-2018,142861,Acer Aspire 3 A315,Laptop,17499,1,15,14874,3
02-09-2019,152732,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,3,775,2
12-12-2018,174306,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,7,2785,2
21-01-2019,176015,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,5,4175,2
31-12-2018,128396,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,6,15975,3
29-07-2019,199000,Oppo A12s,Mobile,14610,1,9,13295,2
29-08-2018,180513,LG Aristo 5,Mobile,13165,1,7,12243,3
10-08-2018,124371,Tecno Spark 5 Pro,Mobile,12306,1,10,11075,1
09-02-2018,121376,Motorola One Vision Plus,Mobile,14860,1,8,13671,1
26-02-2018,125960,iQOO Z1x,Mobile,10409,1,7,9680,5
11-01-2019,162112,Lava Z61 Pro,Mobile,10576,1,12,9307,4
30-03-2019,133280,Motorola Moto G 5G Plus,Mobile,14924,1,1,14775,1
03-11-2019,186567,Honor X10 Max,Mobile,12091,1,3,11728,3
17-01-2018,175371,Samsung Galaxy M31,Mobile,12095,1,1,11974,3
20-08-2019,116533,Motorola One Fusion Plus,Mobile,19173,1,15,16297,3
30-10-2019,154487,Samsung Galaxy M21,Mobile,16684,1,15,14181,2
29-09-2019,110173,Realme X3,Mobile,19687,1,15,16734,2
19-07-2018,135097,Xiaomi Redmi Note 8,Mobile,15358,1,8,14129,5
02-03-2019,192323,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,1,10457,5
12-11-2018,161959,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,3,20369,3
27-02-2019,155417,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,7,13763,5
30-06-2019,174237,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,0,14999,1
30-06-2018,102600,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,10,8369,4
26-11-2019,167769,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,4,18806,4
15-07-2019,103829,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,11,13349,5
06-02-2020,149911,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,15,26342,1
31-07-2018,178442,Dell Vostro 15 3581 ,Laptop,41490,1,11,36926,3
23-04-2019,113427,Acer Aspire 3 A315,Laptop,17499,1,13,15224,1
09-08-2019,154790,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,15,679,5
14-08-2018,105180,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,10,2696,2
17-01-2018,134455,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,12,3868,2
11-09-2018,149237,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,10,15296,3
13-09-2019,191445,Oppo A12s,Mobile,14610,1,13,12711,1
02-03-2020,183877,LG Aristo 5,Mobile,13165,1,4,12638,1
09-08-2019,128261,Tecno Spark 5 Pro,Mobile,12306,1,8,11322,5
20-06-2020,164275,Motorola One Vision Plus,Mobile,14860,1,2,14563,1
05-06-2019,147167,iQOO Z1x,Mobile,10409,1,3,10097,2
31-07-2019,111655,Lava Z61 Pro,Mobile,10576,1,5,10047,4
03-04-2018,122707,Motorola Moto G 5G Plus,Mobile,14924,1,1,14775,1
01-03-2020,106571,Honor X10 Max,Mobile,12091,1,3,11728,4
17-04-2018,136374,Samsung Galaxy M31,Mobile,12095,1,11,10765,4
28-04-2019,147214,Motorola One Fusion Plus,Mobile,19173,1,5,18214,5
26-10-2019,151222,Samsung Galaxy M21,Mobile,16684,1,5,15850,5
10-12-2018,156734,Realme X3,Mobile,19687,1,6,18506,2
13-01-2019,177663,Xiaomi Redmi Note 8,Mobile,15358,1,8,14129,4
11-09-2019,189373,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,11,9401,4
18-03-2019,123980,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,9,19109,2
27-05-2019,159078,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,0,14799,1
04-12-2019,188324,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,14,12899,5
17-04-2018,189607,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,7,8648,1
02-07-2019,107743,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,12,17239,3
18-11-2019,123188,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,6,14099,1
04-11-2018,110071,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,12,27271,5
06-05-2020,142097,Dell Vostro 15 3581 ,Laptop,41490,1,13,36096,2
03-12-2019,120424,Acer Aspire 3 A315,Laptop,17499,1,9,15924,4
10-03-2020,175505,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,4,767,4
14-01-2019,115230,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,11,2666,3
30-05-2019,143931,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,5,4175,4
18-01-2018,174777,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,5,16145,1
08-04-2020,142845,Oppo A12s,Mobile,14610,1,5,13880,3
12-03-2020,165341,LG Aristo 5,Mobile,13165,1,9,11980,4
02-03-2018,141781,Tecno Spark 5 Pro,Mobile,12306,1,6,11568,5
03-11-2019,188466,Motorola One Vision Plus,Mobile,14860,1,0,14860,4
18-07-2018,107021,iQOO Z1x,Mobile,10409,1,10,9368,2
